Compound,0.02 V,0.1 V,0.5 V,1 V,5 V
10⁹ (CFU/ml),-1.63917e-05,-1.33638e-05,-1.77065e-05,-2.0425e-05,7.18448e-06
10⁹ (CFU/ml),-1.63923e-05,-1.32393e-05,-1.69976e-05,-1.89404e-05,2.05257e-05
10⁹ (CFU/ml),-1.63928e-05,-1.31139e-05,-1.6223e-05,-1.74889e-05,4.23819e-05
10⁹ (CFU/ml),-1.63922e-05,-1.29808e-05,-1.55003e-05,-1.60917e-05,7.21479e-05
10⁹ (CFU/ml),-1.63886e-05,-1.28479e-05,-1.49041e-05,-1.47048e-05,0.000104618
10⁹ (CFU/ml),-1.63754e-05,-1.2712e-05,-1.42952e-05,-1.33402e-05,0.000140967
10⁹ (CFU/ml),-1.63595e-05,-1.25708e-05,-1.36582e-05,-1.16043e-05,0.000180291
10⁹ (CFU/ml),-1.63368e-05,-1.24312e-05,-1.29925e-05,-1.04217e-05,0.000220252
10⁹ (CFU/ml),-1.62987e-05,-1.22954e-05,-1.23069e-05,-9.14608e-06,0.000268246
10⁹ (CFU/ml),-1.62673e-05,-1.21537e-05,-1.15959e-05,-7.97441e-06,0.000326271
10⁹ (CFU/ml),-1.62313e-05,-1.20025e-05,-1.08728e-05,-7.04237e-06,0.000390338
10⁹ (CFU/ml),-1.62038e-05,-1.18622e-05,-1.0131e-05,-6.04344e-06,0.00045438
10⁹ (CFU/ml),-1.61573e-05,-1.17264e-05,-9.38764e-06,-5.45302e-06,0.000516189
10⁹ (CFU/ml),-1.61257e-05,-1.15963e-05,-8.63607e-06,-4.84164e-06,0.000571028
10⁹ (CFU/ml),-1.61182e-05,-1.14717e-05,-7.8912e-06,-4.24896e-06,0.000619202
10⁹ (CFU/ml),-1.61112e-05,-1.1344e-05,-7.14079e-06,-3.63074e-06,0.000662519
10⁹ (CFU/ml),-1.61059e-05,-1.12033e-05,-6.26265e-06,-3.01239e-06,0.000706851
10⁹ (CFU/ml),-1.61028e-05,-1.10564e-05,-5.59422e-06,-2.3578e-06,0.000748409
10⁹ (CFU/ml),-1.60892e-05,-1.09279e-05,-4.90267e-06,-1.72748e-06,0.000788456
10⁹ (CFU/ml),-1.60696e-05,-1.08225e-05,-4.24581e-06,-1.08115e-06,0.000825889
10⁹ (CFU/ml),-1.60391e-05,-1.07223e-05,-3.6411e-06,-4.33578e-07,0.0008628
10⁹ (CFU/ml),-1.60083e-05,-1.06544e-05,-2.99463e-06,2.44952e-07,0.00089828
10⁹ (CFU/ml),-1.5977e-05,-1.0552e-05,-2.62669e-06,1.02297e-06,0.000936193
10⁹ (CFU/ml),-1.59434e-05,-1.05141e-05,-2.33354e-06,1.86484e-06,0.000973849
